submission_TITLE,submission_ABSTRACT,KEYWORDS_SELECTION
Developing a Reusable Clinical Decision Support System Module for Immunization Recommendations: a Case Study with OpenEMR and OpenMRS,"This project aims to design a common clinical decision support (CDS) module by leveraging machine-readable CDS rules, specifically CDC-recommended immunization schedules. Currently, we use OpenMRS and OpenEMR as test beds. The development and implementation take advantage of commonalities between both systems, HL7 Fast Healthcare Interoperability Resources (FHIR) and web technologies. We aim to provide a common CDS framework that can be used repeatedly in cloud-based electronic health record systems with FHIR support.","['Clinical decision support for translational/data science interventions', 'FHIR', 'Data/system integration, standardization and interoperability']"
CGG Short Tandem Repeat Expansions are Overrepresented in Neurodevelopmental Disorders,"Short tandem repeats (STRs) are common in the human genome, constituting around 3% of it. Among these, CGG STRs are notable as they are frequently found in and around genes. CGG STRs are particularly associated with neurodevelopmental disorders (NDDs). Expansions of these repeats can lead to gene silencing through hypermethylation. We examined 5963 CGG STR loci in a large NDD cohort of 15,996 individuals using whole genome sequencing. We identified 419 significant CGG STR expansions in 142 unique loci within 118 genes. These genes were enriched for functions related to DNA binding, regulation, and transcription, with expression in brain tissues, particularly the cerebral cortex and cerebellum.In individuals with autism spectrum disorder (ASD), we observed a 2.9-fold increased likelihood of large CGG STR expansion compared to unaffected parents. We found CGG repeat expansions in over 30 genes previously linked to various disorders, most of which are related to neurodevelopment. By combining our expansion data with haploinsufficiency and variant analyses, we identified promising candidate genes like RGPD2 and SAMD1, potentially involved in recessive NDDs. This study not only reveals novel candidate genes associated with CGG expansion disorders but also strengthens the connection between CGG STRs and NDDs.","['Informatics research/biomedical informatics research methods', 'Clinical genomics/omics and interventions based on omics data', 'Genomics/Omic data interpretation']"
Ensemble pretrained language models to extract biomedical knowledge from literature,"In this paper, we introduce a novel NLP system we built for the LitCoin NLP challenge, organized by the National Center for Advancing Translational Science, which achieved 1st place in Phase I - Named Entity Recognition (NER) and 2nd place in Phase II - Relation Extraction (RE) and Novelty Prediction among more than 200 teams. Our results demonstrate potential applications in downstream tasks such as knowledge graph construction and hypothesis generation for biomedical research.","['Natural Language Processing', 'Data mining and knowledge discovery', 'Data-driven research and discovery']"
Comparison of Three Deep Learning Models in Accurate Classification of 770 Dermoscopy Skin Lesion Images,"Accurately determining and classifying different types of skin cancers is critical for early diagnosis. In this work, we propose a novel use of deep learning for classification of benign and malignant skin lesions using dermoscopy images. We obtained 770 de-identified dermoscopy images from the University of Missouri (MU) Healthcare. We created three unique image datasets that contained the original images and images obtained after applying a hair removal algorithm. We trained three popular deep learning models, namely, ResNet50, DenseNet121, and Inception-V3. We evaluated the accuracy and the area under the curve (AUC) receiver operating characteristic (ROC) for each model and dataset. DenseNet121 achieved the best accuracy (80.52%) and AUC ROC score (0.81) on the third dataset. For this dataset, the sensitivity and specificity were 0.80 and 0.81, respectively. We also present the SHAP (SHapley Additive exPlanations) values for the predictions made by different models to understand their interpretability.","['Medical Imaging', 'Patient centered research and care', 'Machine learning and predictive modeling']"
A Survey on the Utilization of Online Peer Support Among Informal Dementia Caregivers,"Informal dementia caregivers often face substantial caregiving challenges. Online communities provide a cheap and convenient way to obtain support and resources, but most studies in this area are biased toward caregivers who are already online users. This survey investigated how informal dementia caregivers, in general, perceive or utilize peer support from online communities. The research findings can serve as a base for investigations using online peer support to assist informal dementia caregivers.","['Public health informatics', 'Patient centered research and care', 'Education and Training']"
SABER: Statistical Identification of Loci of Interest in GWAS Summary Statistics using a Bayesian Gaussian Mixture Model,"Genome-wide association studies (GWAS) remain a popular method for identifying novel genetic associations with human phenotypes and have provided many insights into the etiology of many diseases. However, GWAS provide limited support for how a genetic association might contribute to disease due to inherent limitations, such as linkage disequilibrium. As such, many methods that operate on GWAS summary statistics have been developed to generate evidence for functional pathways or for variants of interest, but they require defining the genomic region bounds for loci of interest. At present, there are limited methods for determining these bounds in a rigorous, reproducible way. We present a novel statistical method, Statistical Analysis for Bayesian Estimation of Regions (SABER), that uses Bayesian Gaussian mixture models to reproducibly generate ratios that quantify whether particular genomic positions represent the bounds of loci of interest and can be used to delineate genomic regions for downstream analyses.","['Reproducible research methods and tools', 'Genotype-phenotype association studies (including GWAS)', 'Genomics/Omic data interpretation']"
Local Large Language Models for Complex Structured Tasks,"This paper introduces an approach that combines the language reasoning capabilities of large language models (LLMs) with the benefits of local training to tackle complex language tasks. The authors demonstrate their approach by extracting structured condition codes from pathology reports. The proposed approach utilizes local, fine-tuned LLMs to respond to specific generative instructions and provide structured outputs. Over 150k uncurated surgical pathology reports containing gross descriptions, final diagnoses, and condition codes were used. Different model architectures were trained and evaluated, including LLaMA, BERT, and LongFormer. The results show that the LLaMA-based models significantly outperform BERT-style models across all evaluated metrics. LLaMA models performed especially well with large datasets, demonstrating their ability to handle complex, multi-label tasks. Overall, this work presents an effective approach for utilizing LLMs to perform structured generative tasks on domain-specific language in the medical domain.","['Data-driven research and discovery', 'Machine learning and predictive modeling', 'Clinical and research data collection, curation, preservation, or sharing']"
Adaptation and Implementation of the ECHO Model for Hypertension Management in A Low- and Middle-Income Country,"Healthcare workers (HCWs) in the Federal Capital Territory (FCT), Nigeria participated in a hypertension focused training series following the Extension for Community Health Outcomes (ECHO) model. We sought to evaluate the effect of the hypertension training series on service delivery and patient level outcomes including hypertension treatment and control rates, medication, and referral patterns. HCWs from 12 sites participating in the Hypertension Treatment in Nigeria (HTN) Program participated in a seven-part hypertension ECHO training series between August 2022 to April 2023. Trainings focused on varied domains of hypertension patient management. Patient level data from the Hypertension Treatment in Nigeria program registry concurrent with the training period were used to evaluate the effectiveness of the training program on patient level outcomes. Outcomes were compared between the 12 sites which participated in the ECHO program and the sites which were not.","['Health Information and biomedical data dissemination strategies', 'Implementation Science', 'Stakeholder (i.e., patients or community) engagement']"
Characterizing protein structural features of alternative splicing and isoforms using AlphaFold 2,"AlphaFold 2 provides a great opportunity for a comprehensive analysis of the relationship between alternative splicing and protein structure. We analyzed alternative splicing across ~3,500 human genes and observed post-splicing structural changes predominantly in coils and beta-sheets. Intrinsically disordered residues were found enriched in spliced regions. Furthermore, we gained significant insight into splicing by analyzing the Septin-9 protein and the Tau protein. Our study underscores the intricate relationships among alternative splicing, evolution, and disease.","['Biomarker discovery and development', 'Data-driven research and discovery', 'Genomics/Omic data interpretation']"
Multimodal Data Hybrid Fusion and Natural Language Processing for Clinical Prediction Models,"We presented a comprehensive framework that integrated multimodal data sources, including textual clinical notes, structured electronic health records (EHRs), and relevant clinical data from National Electronic Injury Surveillance System (NEISS) datasets. We proposed a novel hybrid fusion method, which incorporated state-of-the-art pre-trained language model, to integrate unstructured clinical text with structured EHR data and other multimodal sources, thereby capturing a more comprehensive representation of patient information. The experimental results demonstrated that the hybrid fusion approach significantly improved the performance of clinical prediction models compared to traditional fusion frameworks and unimodal models that rely solely on structured data or text information alone. The proposed hybrid fusion system with RoBERTa language encoder achieved the best prediction of the Top 1 injury with an accuracy of 75.00% and Top 3 injuries with an accuracy of 93.54%. Our study highlights the potential of integrating natural language processing (NLP) techniques with multimodal data fusion for enhancing clinical prediction models' performances. By leveraging the rich information present in clinical text and combining it with structured EHR data, the proposed approach can improve the accuracy and robustness of predictive models. The approach has the potential to advance clinical decision support systems, enable personalized medicine, and facilitate evidence-based health care practices. Future research can further explore the application of this hybrid fusion approach in real-world clinical settings and investigate its impact on improving patient outcomes.","['Data-driven research and discovery', 'Natural Language Processing', 'Machine learning and predictive modeling']"
Linking Cancer Clinical Trials to their Result Publications,"The results of clinical trials are a valuable source of evidence for researchers, policy makers, and healthcare professionals. However, online trial registries do not always contain links to the publications that report on their results, instead requiring a time-consuming manual search. Here, we explored the application of pre-trained transformer-based language models to automatically identify result-reporting publications of cancer clinical trials by computing dense vectors and performing semantic search. Models were fine-tuned on text data from trial registry fields and article metadata using a contrastive learning approach. The best performing model was PubMedBERT, which achieved a mean average precision of 0.592 and ranked 70.3% of a trial's publications in the top 5 results when tested on the holdout test trials. Our results suggest that semantic search using embeddings from transformer models may be an effective approach to the task of linking trials to their publications.","['Natural Language Processing', 'Clinical trials innovations', 'Machine learning and predictive modeling']"
MENDS-on-FHIR: A pipeline to convert OMOP data into HL7 R4/US Core complaint FHIR data,"This abstract describes a pipeline for converting data stored in OMOP CDM 5.3 into a set of HL7 R4/US Core complaint FHIR resources using the Whistle Engine. The pipeline was developed for the Multi-State EHR-Based Network for Disease Surveillance (MENDS) project. We mapped data for the following MENDS domains: patient, encounter, prescription, lab result, social history, and immunization. The FHIR data generated was validated using the FHIR validator tool and imported to HAPI FHIR server.","['Data transformation/ETL', 'FHIR', 'Data/system integration, standardization and interoperability']"
Timely Follow-Up on Abnormal Mammography Results: Design and Development of a Novel Electronic Clinical Quality Measure (eCQM),"Based on an environmental scan and stakeholder consultations, we designed and developed an electronic clinical quality measure to report the rate of timely follow-up on abnormal mammography results. The specifications are defined using routinely collected electronic health record (EHR) data. Chart reviews demonstrated that the data are accurately documented in the EHR and generally stored in structured fields. One challenge is extraction of abnormal results from mammography reports, which is addressed using natural language processing.","['Secondary use of EHR data', 'Measuring outcomes', 'Patient centered research and care']"
Fine-tuning a Hierarchical Attention Based BiLSTM-CRF Model Using Minimal Labeled Data,"Ontology construction and updates can be facilitated by identifying keyphrases in existing literature automatically, a complement to the manual process. We developed a BiLSTM-CRF model that utilizes natural language processing, hierarchical attention, and deep learning techniques for this purpose. To explore the model's performance, we conducted experiments where we fine-tuned it by adding labeled data during training and analyzed the results. We observed that the model yields satisfactory results even with minimal labeled data.","['Data-driven research and discovery', 'Natural Language Processing', 'Machine learning and predictive modeling']"
"A Multi-Modal Geomarker Pipeline for Assessing the Impact of Social, Economic, and Environmental Factors on Pediatric Hospitalization","Given the wide range of data types and linkage methods, FAIR computational pipelines and research software for geospatial, community, and environmental data require special considerations. Our overall objective was to create a computational pipeline for attaching place-based data to electronic health records at scale to assess the impact of social, economic, and environmental factors on population-wide pediatric hospitalizations across Hamilton County, Ohio. To assess the impact of place-based characteristics (termed geomarkers) on hospital admissions, we aimed to link patient hospitalizations to multi-modal, extant data sources grouped into four major categories: (1) temporal geomarkers linked by date, (2) exact location geomarkers linked by geocoding residential addresses, (3) census tract geomarkers linked by geocoding to census tract boundaries, and (4) parcel geomarkers linked through probabilistic address matching. We compared combinations of two natural language address parsers and two matching algorithms to link addresses to parcel identifiers at scale. Our population-wide sample of hospitalizations across seven yearsin Hamilton County, Ohio consisted of 124,244 hospitalizations experienced by 69,842 children and adolescents living at 19,364 unique parcels. Within the RISEUP geomarker pipeline, we were able to use {parcel} to link 74.8% (or 41,667 of 55,684 hospitalizations) within Hamilton County, Ohio.","['Informatics research/biomedical informatics research methods', 'Social determinants of health', 'Secondary use of EHR data']"
Classifying Concepts in Clinical Notes for Patient Relevance,"Patient notes often contain mentions of medical terms that are not direct descriptions of the patient's current or previous status (e.g., rule outs, family history). Recently, a concept property named 'TermExists' has been proposed that captures the fact that the term does apply to the patient. TermExists property can be valuable for many downstream use cases where characterizing the patient by only their directly applicable concepts is the primary goal. This property has previously been defined in terms of a combination of other properties. Here, we develop methods to directly classify clinical concepts for TermExists, using a derived gold-standard labeling that takes advantage of existing datasets. We show that directly classifying the TermExists variable is as accurate as a composite system, while requiring fewer classifiers.","['Natural Language Processing', 'EHR-based phenotyping', 'Knowledge representation, management, or engineering']"
Mechanisms for Integrating Real Data into Search Game Simulations: An Application to Winter Health Service Pressures and Preventative Policies,"While modelling and simulation are powerful techniques for exploring complex phenomena, if they are not coupled with suitable real-world data any results obtained are likely to require extensive validation. We consider this problem in the context of search game modelling, and suggest that both demographic and behaviour data are used to configure certain model parameters. We show this integration in practice by using a combined dataset of over 150,000 individuals to configure a specific search game model that captures the environment, population, interventions and individual behaviours relating to winter health service pressures. The presence of this data enables us to more accurately explore the potential impact of service pressure interventions, which we do across 33,000 simulations using a computational version of the model. We find government advice to be the best-performing intervention in simulation, in respect of improved health, reduced health inequalities, and thus reduced pressure on health service utilisation.","['Data-driven research and discovery', 'Public health informatics', 'Social determinants of health']"
"ChatGPT and Vaccine Hesitancy: A Comparison of English, Spanish, and French Responses Using a Validated Scale","ChatGPT is a popular information system (over 1 billion visits in August 2023) that can generate natural language responses to user queries. It is important to study the quality and equity of its responses on health-related topics, such as vaccination, as they may influence public health decision-making. We use the Vaccine Hesitancy Scale (VHS) proposed by Shapiro et al.1 to measure the hesitancy of ChatGPT responses in English, Spanish, and French. We find that: (a) ChatGPT responses indicate less hesitancy than those reported for human respondents in past literature; (b) ChatGPT responses vary significantly across languages, with English responses being the most hesitant on average and Spanish being the least; (c) ChatGPT responses are largely consistent across different model parameters but show some variations across the scale factors (vaccine competency, risk). Results have implications for researchers interested in evaluating and improving the quality and equity of health-related web information.","['Public health informatics', 'Health literacy issues and solutions', 'Ethical, legal, and social issues']"
Using Structured and Unstructured EHR Features to Quantify Delayed Diagnosis of Venous Thromboembolism (VTE) in Primary Care: a Multi-Site Study,"Venous Thromboembolism (VTE) is a serious, preventable public health problem requiring timely treatment. Because VTE symptoms are non-specific, diagnosis is often delayed. Today there are no federal measurement tools in place to track delayed diagnosis of VTE. We validated our electronic clinical quality measure (eCQM) to quantify Diagnostic Delay of Venous Thromboembolism (DOVE) in primary care settings in a geographically distant integrated care delivery system and found DOVE rates >80%, consistent with previous testing.","['Measuring outcomes', 'Data standards', 'Natural Language Processing']"
Machine Learning for Equitable Prediction of Opioid Use Disorder: A Bias Mitigation Algorithm Towards Accurate and Fair Outcomes,"In this study, we proposed a bias mitigation algorithm and a weighted majority voting (WMV) classifier for fairness-aware prediction of opioid use disorder. The proposed algorithm achieved a bias improvement of 16.96% (gender), 8.87% (marital status), 8.45% (working condition), 41.62% (race), and 0.20% (income). The WMV classifier also achieved a recall of 92.68%, a specificity of 90.20%, and an accuracy of 90.21%. The results confirm the effectiveness of proposed methods in real-world applications.","['Public health informatics', 'Ethical, legal, and social issues', 'Machine learning and predictive modeling']"
An Explainable Machine Learning Framework to Predict Opioid Use Disorder Treatment Discontinuation and Stratify Patients into Risk Subgroups: Retrospective Study on MarketScan Commercial Claims Data,"In the face of the US opioid crisis, effective buprenorphine treatment for opioid use disorder is often prematurely discontinued. Using 2018-2021 MarketScan data, we developed a two-stage machine learning framework to predict discontinuation within one year after treatment initiation and stratified patients by discontinuation risk. Results indicated that early medication adherence, age, and initial days of supply were significant predictors. By categorizing patients into risk subgroups, our approach enables targeted interventions, enhancing clinical decision-making.","['Public health informatics', 'Machine learning and predictive modeling', 'Outcomes research, clinical epidemiology, population health']"
Pathophysiological Features in Electronic Medical Records Sustain Model Performance under Temporal Dataset Shift,"Access to real-world data streams like electronic medical records (EMRs) has accelerated the development of supervised machine learning (ML) models for clinical applications. However, few studies investigate the differential impact of particular features in the EMR on model performance under temporal dataset shift. To explain how features in the EMR impact models over time, this study aggregates features into feature groups by their source (e.g. medication orders, diagnosis codes and lab results) and feature categories based on their reflection of patient pathophysiology or healthcare processes. We adapt Shapley values to explain feature groups' and feature categories' marginal contribution to initial and sustained model performance. We investigate three standard clinical prediction tasks and find that while feature contributions to initial performance differ across tasks, pathophysiological features help mitigate temporal discrimination deterioration. These results provide interpretable insights on how specific feature groups contribute to model performance and robustness to temporal dataset shift.","['Clinical decision support for translational/data science interventions', 'Implementation Science', 'Machine learning and predictive modeling']"
Diverse diagnoses associated with spontaneous and indicated preterm birth in an electronic health record cohort,"Background: While some clinical risk factors for preterm birth (PTB) are known, a study using electronic health records (EHR) to identify conditions associated with PTB may identify novel risk factors. The novel associations may help identify those at risk for PTB and provide new insight into potential pathways of PTB.Objective: To identify novel clinical associations with PTB overall and by spontaneous and indicated subtype.Methods: This retrospective cohort study was performed in a large EHR system. We identified 10,643 deliveries to birthing people who had a diagnosis recorded prior to conception. We performed multivariate logistic regression on every diagnosed condition (N=1,326) to identify those associated with preterm birth in the full cohort and in the indicated and spontaneous subpopulations.Results: We found 18 diagnoses significantly associated with PTB in the overall group, and 30 in the indicated group. No significant associations were found in the spontaneous group. In both the overall and indicated group, the conditions most significantly associated with PTB replicated previously known risk factors (including hypertension and diabetes), while other conditions such as decreased white blood cell count and lung diseases are less established.Conclusions: In a large EHR system, we replicated known associations between diagnosed conditions and PTB, as well as finding associations of interest for further study. Further study is needed in a large cohort of spontaneous deliveries to better understand this heterogeneous group.","['Data-driven research and discovery', 'Secondary use of EHR data', 'Data Integration']"
Measuring and Reducing Racial Bias in a Pediatric Urinary Tract Infection Model,"Clinical predictive models that include race as a predictor have the potential to exacerbate disparities in healthcare. Such models can be respecified to exclude race or optimized to reduce racial bias. We investigated the impact of such respecifications in a predictive model UTICalc, which was designed to reduce catheterizations in young childrenwith suspected urinary tract infections. To reduce racial bias, race was removed from the UTICalc logistic regression model and replaced with two new features. We compared the two versions of UTICalc using fairness and predictive performance metrics to understand the effects on racial bias. In addition, we derived three new models for UTICalc tospecifically improve racial fairness. Our results show that, as predicted by previously described impossibility results, fairness cannot be simultaneously improved on all fairness metrics, and model respecification may improve racial fairness but decrease overall predictive performance.","['Social determinants of health', 'Ethical, legal, and social issues', 'Machine learning and predictive modeling']"
Towards Predicting Smoking Events for Just-in-time Interventions,"Consumer-grade heart rate (HR) sensors are widely used for tracking physical and mental health status. We explore the feasibility of using Polar H10 electrocardiogram (ECG) sensor to detect and predict cigarette smoking events in naturalistic settings with several machine learning approaches. We have collected and analyzed data for 28 participants observed over a two-week period. We found that using bidirectional long short-term memory (BiLSTM) with ECG-derived and GPS location input features yielded the highest mean accuracy of 69% for smoking event detection. For predicting smoking events, the highest accuracy of 67% was achieved using the fine-tuned LSTM approach. We also found a significant correlation between accuracy and the number of smoking events available from each participant. Our findings indicate that both detection and prediction of smoking events are feasible but require an individualized approach to training the models, particularly for prediction.","['Data-driven research and discovery', 'Mobile Health, wearable devices and patient-generated health data', 'Machine learning and predictive modeling']"
Clinical Significance of Marital Status and Changes in Status Extracted from Unstructured Clinical Notes,"Stressful family events like marriage or divorce are important social determinants of health which can be crucial for clinical decision support. Yet data about such life events is rarely present inside electronic health records in structured form. This project explores a method to identify stressful family changes using natural language processing. After extracting events, we show that any change in marital status correlates with worse health outcomes compared to the 'no change' group.","['Natural Language Processing', 'Social determinants of health', 'Clinical and research data collection, curation, preservation, or sharing']"
A TBI Prescreening Tool for IPV Patients Using Initial Clinical Reports and Machine Learning,"Research studies have presented an unappreciated relationship between intimate partner violence (IPV) survivors and symptoms of traumatic brain injuries (TBI). Within these IPV survivors, resulting TBIs are not always identified during emergency room visits. This demonstrates a need for a prescreening tool that identifies IPV survivors who should receive TBI screening. We present a model that measures similarities to clinical reports for confirmed TBI cases to identify whether a patient should be screened for TBI. This is done through an ensemble of three supervised learning classifiers which work in two distinct feature spaces. Individual classifiers are trained on clinical reports and then used to create an ensemble that needs only one positive label to indicate a patient should be screened for TBI.","['Natural Language Processing', 'EHR-based phenotyping', 'Machine learning and predictive modeling']"
An Exploration of Minimally Stable Feature Set Discovery by Consensus-based Feature Selection Approach for Early Detection of Amyotrophic Lateral Sclerosis,"Amyotrophic lateral sclerosis (ALS) is characterized by symptom heterogeneity and similarity to other neurological disorders, which can lead to delays in diagnosis. Early detection of ALS prompts timely interventions and slow down the progression, which can potentially be achieved by leveraging accurate predictive models with feature selection (FS). However, current state-of-arts FS algorithms based on high-dimensional real-world data often suffer from lack of stability and parsimony, resulting in non-reproducibility and non-generalizability. In this work, we proposed a consensus-based FS approach to identify a minimal feature set that are predictive and stable for early prediction of ALS diagnosis. The proposed method selects a parsimonious set of features by seeking consensus on direction of associations across perturbated samples, over time and between models. Our findings showed great promises in identifying a small set of stable features to predict initial ALS diagnosis even 18 months ahead.","['Data mining and knowledge discovery', 'Data-driven research and discovery', 'Machine learning and predictive modeling']"
Concordance between Self-Reported and Prescribed Medications in UKBiobank,"UKBiobank contains self-reported medications and prescription records in primary care. Numerous studies rely on self-reported medications alone for epidemiological and genome-wide association studies. It is unclear whether they have high condordance. In this study, we systematically mapped UKB medication codes into RxNORM and Anatomical Therapeutic Chemical Classification (ATC), and assessed the concordance between two sources of medication records. We found various levels of concordance among different medications, and conclude that one should consider both sources to avoid reporting bias.","['Genotype-phenotype association studies (including GWAS)', 'Cohort discovery', 'Data sharing / interoperability']"
Using Systems Dynamics Modeling to Engage Developers and Users to Understand the Acceptability of a Clinical Decision Support Tool,"To improve adoption of Clinical Decision Support (CDS), developers and end users must have a common understanding of the problem and buy-in of solutions. We applied, Participatory System Dynamics Modeling,an adaptation of a systems thinking approach that engaged developers and end users to identify barriers to using CDS in practice. This process revealed new insights for each group about key leverage points and brought developers' and users' views about a CDS tool closer in alignment.","['Clinical decision support for translational/data science interventions', 'Implementation Science', 'Machine learning and predictive modeling']"
Best of Both Worlds: Bridging One Model for All and Group-Specific Model Approaches using Ensemble-based Subpopulation Modeling,"Subpopulation models have become of increasing interest in prediction of clinical outcomes because they promise to perform better for underrepresented patient subgroups. However, the personalization benefits gained from these models tradeoff their statistical power, and can be impractical when the subpopulation's sample size is small. We hypothesize that a hierarchical model in which population information is integrated into subpopulation models would preserve the personalization benefits and offset the loss of power. In this work, we integrate ideas from ensemble modeling, personalization, and hierarchical modeling and build ensemble-based subpopulation models in which specialization relies on whole group samples. This approach significantly improves the precision of the positive class, especially for the underrepresented subgroups, with minimal cost to the recall. It consistently outperforms one model for all and one model for each subgroup approaches, especially in the presence of a high class-imbalance, for subgroups with at least 380 training samples.","['Secondary use of EHR data', 'Patient centered research and care', 'Machine learning and predictive modeling']"
Identifying Mentions of Social Support and Social Isolation from Clinical Notes of Psychiatric Patients,"Extensive research has established a clear connection between social isolation and the absence of so- cial support with elevated risks for both physical and mental health conditions. These health issues encompass a range of ailments, including cardiovascular diseases, obesity, depression, premature mortality, and Alzheimer's disease.1 On the other hand, social support and related concepts including emotional support, instrumental support, and social networkhavebeenassociatedwithimprovedhealthoutcomes.2 Moreover,ithasalsobeenfoundthatdifferentcompo- nents of social isolation and support may have differing effects on mental and physical health. Within large healthcare systems, identifying patients with social isolation and social support would benefit researchers and clinicians alike to better characterize illness and health within a psychosocial context. Electronic health records (EHRs) represent a valuable repository of patient data to do so; however, information related to social support and isolation is typically only found in the narrative of clinician notes. The manual extraction of such data is labor-intensive. To address this challenge, we examined a combination of regular expressions and machine learning-based natural language processing (NLP) techniques. These approaches were aimed at automating the extraction of mentions pertaining to social support and isolation from clinical encounter notes efficiently.","['Natural Language Processing', 'Social determinants of health', 'Data-driven research and discovery']"
Cross-phenotype associations between Alzheimer's Disease and its comorbidities may provide clues to progression,"Alzheimer's disease (AD) is the most prevalent neurodegenerative disease worldwide, with one in nine people over the age of 65 living with the disease in 2023. In this study, we used a phenome wide association study (PheWAS) approach to identify cross-phenotype associations between previously identified genetic AD and for electronic health record (EHR) diagnoses from the UK Biobank (UKBB) (n=361,194 of European ancestry) and the eMERGE Network (n=105,108 of diverse ancestry). Based on 497 previously identified AD-associated variants from the Alzheimer's Disease Variant Portal (ADVP), we found significant associations primarily in immune and cardiac related diseases in our PheWAS. Replicating variants have widespread impacts on immune genes in diverse tissue types. This study demonstrates the potential of using the PheWAS strategy to improve our understanding of AD progression as well as identify potential drug repurposing opportunities for new treatment and disease prevention strategies.","['Phenomics and phenome-wide association studies', 'EHR-based phenotyping', 'Clinical genomics/omics and interventions based on omics data']"
Evaluation of GPT-3 for Anti-Cancer Drug Sensitivity Prediction,"In this study, we investigated the potential of GPT-3 for the anti-cancer drug sensitivity prediction task using structured pharmacogenomics data across five tissue types and evaluated its performance with zero-shot prompting and fine-tuning paradigms. The drug's smile representation and cell line's genomic mutation features were predictive of the drug response. The results from this study have the potential to pave the way for designing more efficient treatment protocols in precision oncology.","['Pharmacogenomics', 'Natural Language Processing', 'Machine learning and predictive modeling']"
LitCoin: Changing the Currency of Scientific Research,"The landscape of FAIR biomedical knowledge is ever-expanding, requiring significant curation to maintain accuracy. LitCoin will allow biomedical researchers to generate highly connected, curated knowledge graphs representing their research using the current publishing pipeline and without requiring in-depth understanding of bioinformatics tools. NCATS is partnering with the HEAL program to pilot the LitCoin system in the field of pain and addiction before expanding it to other fields.","['Health Information and biomedical data dissemination strategies', 'Natural Language Processing', 'Data mining and knowledge discovery']"
Using Discrete Event Simulation to Design and Assess an AI-aided Workflow for Same-day Diagnostic Testing of Women Undergoing Breast Screening,"Patients undergoing breast cancer screening suffer from anxiety while waiting for diagnostic examinations after an abnormal screening mammogram. Artificial intelligence (AI)-aided reading could reduce the number of recalls after screening mammograms. We proposed an AI-aided same-day diagnostic workup to alleviate patient anxiety while aiming to reduce unnecessary diagnostic testing after an abnormal screening mammogram. However, the potential unintended consequences of introducing this workflow in a high-volume breast imaging center are unknown. Using discrete event simulation, we observed that implementing the AI-aided workflow would reduce daily patient volume by 4%, increase the time a patient would be at the clinic by 24%, and increase waiting times by 13-31%. We discussed how changing the hours of operation and introducing new imaging equipment and personnel may alleviate these negative impacts. These findings provide quantitative insights that can be used to minimize potential negative impacts associated with implementing an AI-aided same-day diagnostic testing workflow.","['Clinical decision support for translational/data science interventions', 'Informatics research/biomedical informatics research methods', 'Implementation Science']"
Identifying and Characterizing the Transgender and Nonbinary Population Presenting to Pediatric Psychiatry Emergency Services,"Transgender and nonbinary (TGNB) individuals have an increased risk of certain mental health outcomes, such as depression and suicide attempts. This population skews younger in the United States and prior studies have not included TGNB patients for the entire pediatric age range in an emergency department (ED) setting. The present study aimed to examine gender identity documentation in the electronic health record and then use that information to identify and further characterize the pediatric TGNB population presenting to a psychiatric emergency service. Preliminary findings include a greater percentage of TGNB patients compared to non-TGNB individuals who had repeat visits to the ED for high acuity psychiatric concerns. A larger portion of TGNB patients also had at least one evaluation that included suicidal ideation. These results call for increased attention on the quality of mental healthcare for TGNB youth both inside and outside of the ED.","['Social determinants of health', 'Secondary use of EHR data', 'Ethical, legal, and social issues']"
A Novel Explainable AI Method to Assess the Association between Temporal Patterns in Cardiorespiratory Fitness and ADRD Risks,"A novel explainable AI method was developed and applied to a hybrid value-aware Transformer model to assess the association between the temporal patterns of the cardiorespiratory fitness levels and the risks in developing Alzheimer's disease and related dementias. The temporal patterns were expressed in two new variables called the temporal mean and the temporal slope, and the associations were expressed in impact scores and impacts. Previously unknown associations were discovered, and interpretations were provided.","['Data mining and knowledge discovery', 'Data-driven research and discovery', 'Machine learning and predictive modeling']"
Using external data to estimate the observability of an outcome in a target EHR dataset,"The degree to which patient information is captured in the EHR is referred to as observability. We propose the use of external data with full observability to assess the degree of outcome observability in a target EHR dataset. We conduct simulations to show the conditions needed to obtain proper inference. As an application, we consider hospital readmissions as our outcome of interest, and use administrative claims data, as fully observed external data.","['Data quality', 'Secondary use of EHR data', 'Machine learning and predictive modeling']"
Predictive Modeling of Surgical Site Infections: Integrating Machine Learning Structured Clinical Data Attributes with EHR Clinical Notes,"Recognizing the significant impact of surgical site infections on patient outcomes and costs, we developed a model combining EPIC electronic health record structured data attributes with features from clinical notes. Employing Logistic Regression and Random Forest algorithms, our models attained AUC values of 0.80 and 0.65, respectively. This work highlights AI's potential in improving SSI prediction and enhancing healthcare outcomes.","['Clinical decision support for translational/data science interventions', 'Secondary use of EHR data', 'Machine learning and predictive modeling']"
Prognostic Cachexia Sub-phenotypes in Weight Loss Severity Trajectories,"Cachexia is a muscle-wasting syndrome observed in roughly half of patients with cancer. Clinically, cachexia is diagnosed and graded using consensus criteria measures, which are limited by their inability to account for the longitudinal progression of cachexia over time. In this study, we report a method for identifying subphenotypes of temporal cachexia progression in electronic health record data and show its superior ability in stratifying patient outcomes than measures collected at a single time point.","['EHR-based phenotyping', 'Secondary use of EHR data', 'Machine learning and predictive modeling']"
