row_id,submission_TITLE,HIGHLIGHTED THEME (OPTIONAL),submission_ABSTRACT,KEYWORDS_SELECTION
42,Derivation and Experimental Performance of Standard and Novel Uncertainty Calibration Techniques,,"To aid in the transparency of state-of-the-art machine learning models, there has been considerable research performed in uncertainty quantification (UQ). UQ aims to quantify what a model does not know by measuring variation of the model under stochastic conditions and has been demonstrated to be a potentially powerful tool for medical AI. Evaluation of UQ, however, is largely constrained to visual analysis. In this work, we expand upon the Rejection Classification Index (RC-Index) and introduce the relative RC-Index as measures of uncertainty based on rejection classification curves. We hypothesize that rejection classification curves can be used as a basis to derive a metric of how well a given arbitrary uncertainty quantification metric can identify potentially incorrect predictions by an ML model. We compare RC-Index and rRC-Index to established measures based on lift curves.","['Data mining and knowledge discovery', 'Machine learning and predictive modeling', 'Education and Training']"
43,"PrEP Prescribing and Adherence Patterns among Persons on Medicaid in Chicago, Illinois",Real-World Evidence in Informatics: Bridging the Gap between Research and Practice,"Medicaid claims data contains real-world evidence about PrEP prescribing and adherence patterns in Chicago, Illinois, informing where there are areas of unmet need to target for more efficient healthcare delivery. While PrEP prescriptions in 2015 and 2016 reveal that a high percentage of days (median 95.6% and 89.0% respectively) are covered once a patient has been prescribed PrEP, there are clear geographic trends indicating an unmet need for PrEP on the South side of Chicago.","['Public health informatics', 'Secondary use of EHR data', 'Outcomes research, clinical epidemiology, population health']"
44,Developing Informatics Capacity for COVID-19 Surveillance in a National Research Network,,"The COVID-19 pandemic prompted the necessity for rapid, wide-reaching, and adaptable national surveillance that can accommodate new knowledge, policies, therapeutics, and vaccines. The COVID-19 Electronic Health Data Initiative utilizes PCORnet developed SAS-based tools to rapidly answer research questions and support surveillance initiatives across participating sites. Continued enhancements to the SAS based tools allowed over 50 query packages to be released while keeping pace with the changing nature of the pandemic.","['Public health informatics', 'Patient centered research and care']"
45,Analysis of Online Health Information Resource Networks at Multiple Levels of Semantic Granularities: A Case Study for COVID-19 Treatment,,"We conducted a case study to analyze the online information networks for COVID-19 treatment at four semantic granularity levels: treatment, medication, antiviral, and Paxlovid. The network size decreased as the semantic granularity refined. The lower-level networks retained most important nodes from the upper-levels. These findings suggested that we could focus on the lower-level networks for efficient data collection and analysis, and yet still achieve reasonably good results in identifying important online resources and hosting sites.","['Data mining and knowledge discovery', 'Ontologies', 'Knowledge representation, management, or engineering']"
46,Utilizing Decision Tree Model for Streamlined Cognitive Evaluation in Aging Populations with NIH Toolbox Assessments,,"In this study, data from ARMADA project was used to develop a predictive model for distinguishing between normal cognitive function, mild cognitive impairment (MCI), and Alzheimer's disease (AD). The model, based on cognitive, motor, emotional, and sensory performance measures, achieved high accuracy (macro-AUC: 0.92 training, 0.89 testing; micro-AUC: 0.91 training, 0.86 testing). The decision tree utilized memory and attention tests, emotional factors, and motor tests as key predictors, offering the potential for simplified cognitive assessments.","['Clinical decision support for translational/data science interventions', 'Data-driven research and discovery', 'Machine learning and predictive modeling']"
47,Role of Dependency Distance in Text Simplification: A Human vs ChatGPT Simplification Comparison,,"This study investigates human and ChatGPT text simplification and its relationship to dependency distance. A set of 220 sentences, with increasing grammatical difficulty as measured in a prior user study, were simplified by a human expert and using ChatGPT. We found that the three sentence sets all differed in mean dependency distances: the highest in the original sentence set, followed by ChatGPT simplified sentences, and the human simplified sentences showed the lowest mean dependency distance.","['Health literacy issues and solutions', 'Health Information and biomedical data dissemination strategies', 'Natural Language Processing']"
48,Development & Validation of ML Model to Predict Death Upon Admission,,"This project aimed to develop a model that would support consistent end-of-life care, validate the model against clinicians, and ultimately deploy this model into electronic medical record. Using primarily lab data, we developed a LASSO model that predicted death within 45 days of inpatient admission. This model had a Test AUC of 0.82 and generated predictions that significantly improved clinicians’ predictions.","['Clinical decision support for translational/data science interventions', 'EHR-based phenotyping', 'Machine learning and predictive modeling']"
49,"Designing and refining mobile health apps with perspectives from researchers, software engineers, and industry leaders",,"The past decade has witnessed a surge in the development of mobile health (mHealth) apps that cater to various public health concerns. With more than 85% of US adults owning smartphones, mHealth apps have become an attractive platform for delivering health services. These apps offer naturalistic, on-demand, and accessible clinical services, providing a standardized yet personalized care experience. However, translating behavioral healthcare into technical features can be challenging, especially due to the diverse backgrounds and design approaches of collaborators. Consequently, many mHealth apps are neither user-friendly nor clinically effective. This study seeks to offer insight into the interdisciplinary process of designing and refining mHealth apps. The goal is to highlight common mistakes and lessons learned to guide researchers new to mHealth apps. To achieve this, we conducted in-depth interviews with clinical researchers, software engineers, and leaders (e.g., founder, chief technology officer) of digital health companies (n = 11) who built mHealth apps aimed at reducing substance use (confirmed by a literature review). The interviews explored the experiences of participants in designing, refining, testing, and scaling up mHealth apps, both for research and enterprise purposes. By sharing these experiences, we aim to provide researchers with valuable information that can inform their approach to designing effective and user-friendly mHealth apps.","['Patient centered research and care', 'Mobile Health, wearable devices and patient-generated health data', 'Implementation Science']"
50,Risk Factors Predicting Efficacy of Immune Checkpoint Inhibitors on the Overall Survival of Patients with NSCLC and SCLC,Integrating Multi-Modal health Data to Enhance the Power of Informatics,"Immune checkpoint inhibitors (ICIs) have revolutionized lung cancer treatment. However, limited knowledges are available to predict which patients could benefit from ICI treatment. Our retrospective study indicated that patients with younger age, higher BMI, no metastasis, fewer lymph nodes involvement, higher albumin and lower lactate dehydrogenase level of blood would benefit more from ICI treatment, where blood albumin level is the common key factor in predicting ICI efficacy for both NSCLC and SCLC patients.","['Clinical decision support for translational/data science interventions', 'Data mining and knowledge discovery', 'Cohort discovery']"
51,The roles of electronic health records for conducting clinical trials in low-and middle-income countries,Real-World Evidence in Informatics: Bridging the Gap between Research and Practice,"Clinical research plays an important role in advancing medical knowledge, including the development of new treatments by forming the evidence base for safety and therapeutic efficacy. This scoping review aims to comprehensively identify the roles of EHRs in the life cycle of clinical trials, determine how electronic health records (EHRs) should be implemented in clinical research settings, and describe specifically how this technology is used to support different types of clinical trials with a low- and middle-income countries (LMICs) context. We aimed to determine the frequency of use of EHRs and describe possible applications of EHR technology in current practice, focusing on trials that were supported by the EHR rather than evaluating the EHR itself.","['Clinical trials innovations', 'Public health informatics', 'Health Information and biomedical data dissemination strategies']"
52,The role of artificial intelligence for the application of integrating electronic health records and patient-generated data in clinical decision support,"Telehealth, Wearable Devices, and Patient-Generated Health Data: The New Frontiers of Informatics","This narrative review aims to identify and understand the role of artificial intelligence in the application of integrated electronic health records (EHRs) and patient-generated health data (PGHD) in clinical decision support. We focused on integrated data that combined PGHD and EHR data, and we investigated the role of artificial intelligence (AI) in the application. We used the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines to search articles in six databases: PubMed, Embase, Web of Science, Scopus, ACM Digital Library, and IEEE Computer Society Digital Library. In addition, we also synthesized seminal sources, including other systematic reviews, reports, and white papers, to inform the context, history, and development of this field. Twenty-six publications met the review criteria after screening. The EHR-integrated PGHD introduces benefits to health care, including empowering patients and families to engage via shared decision-making, improving the patient-provider relationship, and reducing the time and cost of clinical visits. AI’s roles include cleaning and management of heterogeneous datasets, assisting in identifying dynamic patterns to improve clinical care processes, and providing more sophisticated algorithms to better predict outcomes and propose precise recommendations based on the integrated data. Challenges mainly stem from the large volume of integrated data, data standards, data exchange and interoperability, security and privacy, interpretation, and meaningful use. The use of PGHD in health care is at a promising stage but needs further work for widespread adoption and seamless integration into health care systems.","['Clinical decision support for translational/data science interventions', 'Collaborative workflow systems', 'Implementation Science']"
53,Efficient Training Corpus Retrieval for Large Language Model Fine Tuning,Harnessing the Power of Large Language Models in Health Data Science,"Large language models (LLMs) excel in numerous natural language processing tasks but require domain-specific fine-tuning for optimal results. This study investigates the effectiveness of fine-tuned LLM (GPT-J-6.7B) with IL6 disease knowledge for question-answering. Proposed automated tool is used to extract knowledge from academic papers, including content, co-citation, and co-authorship networks. We leverage deep learning to train a retrieval-based chatbot on question-answer pairs obtained from refined data, to evaluate fine-tuned model performance.","['Data mining and knowledge discovery', 'Informatics research/biomedical informatics research methods', 'Data-driven research and discovery']"
54,Visualizing Patient Population Overlap Using the Redeveloped i2b2 Web Client,,"Integrating Biology and the Bedside (i2b2) is a widely adopted open source software platform for organizing and querying clinical and genomic data (https://www.i2b2.org). Its modular architecture enables organizations to extend the software to perform additional data analyses and visualization. This poster describes how to build plugins for the recently redesigned i2b2 user interface. We demonstrate this with a Venn Diagram plugin, which illustrates the overlap between multiple patient cohorts (https://github.com/neomancy/i2b2-venn-plugin).","['Cohort discovery', 'Secondary use of EHR data', 'Advanced data visualization tools and techniques']"
55,Longer and Greater Clinician Absenteeism Prolongs Patient Length of Stay Across a Simulated Network of Emergency Departments,Integrating Multi-Modal health Data to Enhance the Power of Informatics,"When chronically strained emergency department (ED) staffing is further stressed by disasters such as the COVID-19 pandemic, patient care is slowed and compromised. We develop and explore a network simulation model to stress test ED staffing. Across the network, patient length of stay is unchanged at 25% absenteeism but increases with 1 day and 1 week of 50% clinician absenteeism. Our work builds the groundwork to stress test clinician staffing plans and improve ED resilience.","['Secondary use of EHR data', 'Learning healthcare system', 'Machine learning and predictive modeling']"
56,Using Matched Controls to Measure the Impact of Small Clinical and Translational Research Pilot Grants,,"Each year, the NIH Clinical and Translational Science Award (CTSA) program spends millions of dollars to fund hundreds of small pilot grant projects at academic medical centers across the country. We developed a novel method to evaluate the impact of these pilot grants compared to the baseline level of scientific productivity at an organization. We leveraged a collaboration software platform we created called Profiles, which automatically captures data about investigators using data mining algorithms.","['Collaborative workflow systems', 'Data mining and knowledge discovery', 'Informatics research/biomedical informatics research methods']"
57,Telemedicine in Peru: An examination of service disparities during the COVID-19 pandemics,"Telehealth, Wearable Devices, and Patient-Generated Health Data: The New Frontiers of Informatics","Amidst the COVID-19 pandemic, while global telemedicine services surged, Peru observed a decline after an initial rise. From 2019-2023, nearly 35 million of telemedicine consultations were conducted across 7,844 health facilities (HFs) across Peru. Hospital healthcare HF from urban and wealthiest locations, especially those linked to the National Telemedicine Network, showed higher consultation rates. The data underscores pronounced service disparities, highlighting the urgent need for a more equitable distribution of telemedicine services throughout Peru.","['Public health informatics', 'Social determinants of health']"
58,Fairness-Aware Integral Regression (FAIReg) for Trustworthy Machine Learning in Healthcare,,"With machine learning playing a pivotal role in healthcare, concerns over fairness are paramount. This study introduces FAIReg, a transparent bias mitigation framework tackling the challenge of fairness versus model effectiveness. By optimizing nearly optimal models, FAIReg maintains effectiveness while enhancing fairness. Applied to healthcare datasets, FAIReg achieves an AUC comparable to the fairness-unaware counterpart, while notably excluding race/ethnicity and limiting gender/sex contributions and reducing the disparities measured by fairness metrics.","['Informatics research/biomedical informatics research methods', 'Machine learning and predictive modeling', 'Ethical, legal, and social issues']"
59,Large Language Model for Early Warning Score Prediction in Emergency Medicine,,"Efficient clinical assessment in the Emergency department is vital for resource allocation. Leveraging the capabilities of large language models, we investigated ChatGPT-4.0's predictive performance for NEWS-2 from the MIMIC-IV database. While ChatGPT exhibited an overall accuracy in NEWS-2 and ICU admission prediction, it showed limited sensitivity for both predictions. Prediction accuracy varied across racial groups, raising concerns of bias. Predicting Emergency Severity Index scores and hospital admissions proved challenging due to their subjective nature.","['Natural Language Processing', 'Machine learning and predictive modeling', 'Ethical, legal, and social issues']"
60,Repurposing Clinical De-Identification Software for Source Code Repositories,,"Publicly shared source code is an often-overlooked risk for accidental disclosure of protected health information (PHI). Clinical de-identification tools exist but have not been evaluated on source code. We evaluated three de-identification tools: Philter, deid, and ClinDeID, and noted varying performance. Overall, the tools performed well as highly sensitive detectors for potential PHI, and several classes of common false positives are noted.","['Data security and privacy', 'Digital research enterprise', 'Open Science for biomedical research and translational medicine']"
61,Machine learning Based Acute Kidney Injury Sub-phenotyping With Time Series Serum Creatinine Data,,"Acute Kidney injury (AKI) is a life-threatening clinical syndrome prevalent in hospitalized patients and is associated with increased mortality and poor patient outcomes. Pathophysiology of AKI is highly divergent. AKI sub-phenotyping can lead to better understanding of the AKI pathophysiology and help develop etiology-based personalized treatment. Most existing sub-phenotyping methods are based-on static data, with time-series data like vital signs and biomarkers converted to point estimates, where information in the dynamic data is often ignored. To address these limitations, we propose to use the Dynamic Time Warp algorithm to capture information from the full time-series of Serum Creatinine (SCr) measurements for AKI sub-phenotyping. We aimed to discover sub-phenotypes of AKI patients in ICU (n=5781) and AKI patients in general units (n=5034). For each patient cohort, we identified 4 sub-phenotypes and analyses showed that they are divided by two major characteristics: AKI stage-1 vs AKI stage-2/3 and resolving vs Non-resolving AKI.","['Data mining and knowledge discovery', 'Data-driven research and discovery', 'Machine learning and predictive modeling']"
62,Enabling efficient data management through FAIR principles in clinical studies,Implementation Science and Deployment in Informatics: From Theory to Practice,"Effective data management in clinical studies is crucial for the successful execution of research projects in medical informatics. The incorporation of the FAIR (Findable, Accessible, Interoperable and Reusable) principles in clinical study execution is increasingly significant providing guidelines for the data management in such projects. They improve the quality, transparency, and efficiency of clinical studies, where reproducability and reusability is crucial for future works. Hence, it empowers researchers to utilize data effectively, ensuring transparent research processes and advancing scientific insights. Here we present a clinical workflow featuring an ETL pipeline while ensuring the compliance for each step with the FAIR principles. The implementation provides captured data from a clinical study in the standardized FHIR format through automated extraction, transform, and storage while adhering to the FAIR guidelines. This approach facilitates data discoverability, accessibility, interoperability, and reusability, amplifying its value and contributing to streamlined data management.","['Data transformation/ETL', 'Data/system integration, standardization and interoperability', 'Clinical and research data collection, curation, preservation, or sharing']"
63,Automatically Evaluating LLM-Generated Text in the Medical Domain,Harnessing the Power of Large Language Models in Health Data Science,A methodology for establishing the quality of LLM output is critical to developing AI assistant tools in the medical domain. We describe a set of methodologies (statistics + LLM) to automatically evaluate the quality and accuracy of AI-generated patient treatment recommendations against a human-generated reference set. Our results demonstrate that an automated evaluation approach can accurately assess the quality of AI-generated text.,"['Natural Language Processing', 'Data quality', 'Machine learning and predictive modeling']"
64,Genetic Variant Data - Min(d)ing the Freetext Gap,Implementation Science and Deployment in Informatics: From Theory to Practice,"The acquisition, storage, and analysis of genetic variant data continues to face critical flow gaps, a major one being free text siloing. In this poster, we will review gaps identified in prior research and propose a clinical natural language processing (CNLP)-based information flow framework to capture, normalize, and store genetic variant data. Finally, we detail a proof-of-concept technical implementation.","['Natural Language Processing', 'Data quality', 'Data mining and knowledge discovery']"
65,The AnVIL Clinical Resource: Bringing Tools for Genomic-Based Clinical Research Data to the NIH Cloud,,"The NHGRI Genomic Data Science Analysis, Visualization, and Informatics Lab-space (AnVlL) is a cloud-based platform to support clinical genomic research communities through a scalable, shared environment with powerful analysis tools. AnVIL is now embarking on the AnVIL Clinical Environment for Innovation and Translation (ACE-IT). The goal of ACE-IT is to enable clinicians to use AnVIL with clinical genomic datasets and to provide tools such as polygenic risk score calculators and machine-learning diagnostic tools.","['Clinical genomics/omics and interventions based on omics data', 'Data commons', 'Data-driven research and discovery']"
66,Early and Adequate Antibiotic Therapy in Hospital-Onset Sepsis: A Target Trial Emulation Applying Machine Learning on Real-World Data,Integrating Multi-Modal health Data to Enhance the Power of Informatics,"Antimicrobial resistance presents challenges in treating hospital-onset sepsis. Given constraints of randomized trials, we leveraged real-world data, including electronic health records, and machine learning to estimate causal effects of early and adequate antibiotic treatment. Results emphasize the importance of adequate treatment, revealing specific patient groups with a critical need for treatment optimization. By merging diverse data sources and expert-driven modeling, this study highlights the potential of both modern and traditional methodologies in improving sepsis outcomes.","['Secondary use of EHR data', 'Machine learning and predictive modeling', 'Outcomes research, clinical epidemiology, population health']"
67,Predicting Future Mental Health Diagnoses in Patients with Cancer Based on the NCCN Distress Thermometer and Electronic Health Record Data,,"In this study, we assessed the independent association between the National Comprehensive Cancer Network Distress Thermometer (NCCN DT) and time to mental health diagnosis (MHD) in patients with cancer. NCCN DT responses demonstrated a persistent relationship with future MHD while controlling for other characteristics derived from patient electronic health records (EHR). Therefore, the NCCN DT and EHR data together may have utility in machine learning models identifying risk of future MHD in patients with cancer.","['Clinical decision support for translational/data science interventions', 'Secondary use of EHR data', 'Social determinants of health']"
68,Cost-effectiveness of Telemedicine: An analysis of telehealth visits in New York State from March 2020 to March 2021,"Telehealth, Wearable Devices, and Patient-Generated Health Data: The New Frontiers of Informatics","Objective:This study aimed to quantify the cost-utility and cost-effectiveness of telemedicine by analyzing data from 2000 telehealth visits in Upstate New York between March 2020 and March 2021.Methods:A subset of 2000 telehealth visits was randomly selected from a total dataset of 512,683 visits from Rochetser Regional Health System. The data encompassed various telehealth modes, and the variables calculated included median distance, time, and carbon saved per visit. Cost estimations were based on fuel efficiency data, gasoline costs, and IRS's standard mileage rate. The study also evaluated environmental impacts in terms of carbon savings.Results:Of the 1974 visits (after excluding 26 outliers), family medicine comprised 30.1% and internal medicine 26.6%. The median distance saved per visit was 13.39 miles, with a median time saving of 0.43 hours. This translated to a gasoline saving of approximately 0.55 gallons per visit and $13.95 when considering IRS's standard mileage rate and hourly wage values. The estimated carbon saving was 4.92 kg per visit. Projected to the entire annual patient group, the potential savings could be roughly 8,957,607 miles, 239,126 hours, $8,603,164, and a carbon reduction of approximately 3,289,515 kg.Conclusion:The findings highlight the substantial cost and environmental benefits of telemedicine in New York State from March 2020 to March 2021. However, a more comprehensive analysis incorporating various parameters and potential disparities in care quality between in-person and telemedicine visits is necessary.","['Data-driven research and discovery', 'Public health informatics', 'Mobile Health, wearable devices and patient-generated health data']"
69,DrugWAS X PheWAS: A pharmacoepidemiologic framework to investigate the effect of drug exposure during pregnancy on pediatric outcomes,Real-World Evidence in Informatics: Bridging the Gap between Research and Practice,"Due to the regulations that restrict pregnant women's participation in drug development trials and the absence of clinical trials involving children, information about safety and efficacy of many drugs or drug combinations used by mothers during and before pregnancy is limited. Leveraging electronic health records (EHRs) of mother-child dyads, we developed a pharmacoepidemiologic framework for conducting large-scale associations between drug exposures of mothers and adverse outcomes of their children.","['Secondary use of EHR data', 'Data-driven research and discovery', 'Drug discovery, repurposing, and side-effect discovery']"
70,"Reporting Implementation Strategies and their Alignment with Implementation Science Outcomes in the Release of a Technology to Facilitate Multidisciplinary, Family-Centered Rounding",Implementation Science and Deployment in Informatics: From Theory to Practice,"In this case study, we use an implementation framework to describe measures capturing different components of the implementation process for a novel team rounding software tool called Q-rounds. The tool facilitates multi-disciplinary, family-centered rounds by sending real-time updates to care teams and families and helping them to join remotely or in-person. Measuring the process of implementation of new informatics innovations within hospitals is important for identifying barriers to implementation and promoting future uptake.","['Patient centered research and care', 'Implementation Science', 'Mobile Health, wearable devices and patient-generated health data']"
71,"Shared Health Research Information Network (SHRINE): System Architecture, Adoption, and Roadmap",,"I2b2 is an open-source clinical data query and analysis platform used at 200+ sites worldwide. We created the Shared Health Research Information Network (SHRINE), a federated network tool that distributes queries to the i2b2 instances at multiple institutions. Each site runs the queries locally and returns the result back to the investigator. This poster compares SHRINE's architecture to other network designs, describes uses cases and adoption across institutions, and lists potential next steps.","['Cohort discovery', 'Secondary use of EHR data', 'Informatics research/biomedical informatics research methods']"
72,Quantifying Diagnostic Uncertainty in Sepsis: Towards Real-Time Clinical Decision Support,,"A sepsis decision-making construct considering infection risk and disease severity has been proposed but never validated on real-world data. 133,524 emergency visits were used to generate modified Early Warning Scores and fit a machine learning infection model. Theses variables were used for linear regression of time to antibiotics. Patients with delayed antibiotics had a higher rate of ICU stay and death (p<0.001). Thus, this could be a useful construct for identifying potentially missed opportunities.","['Clinical decision support for translational/data science interventions', 'EHR-based phenotyping', 'Infectious disease modeling']"
73,Incorporating Stakeholder Input in the Development of a Health Disparities Data Exploration Tool in a Pediatric Hospital Setting,Fairness and Disparity in Health and Biomedical Informatics: Addressing Inequities through Innovation,"To monitor and address health disparities in both processes and outcomes, we developed a data exploration tool to allow stakeholders to examine questions related to health equity and health disparities through a dynamic data visualization dashboard. We took a user experience approach to understanding how this dashboard may be used from a hospital leader perspective and from a clinician perspective. This poster will discuss qualitative user feedback and how this feedback shaped future design.","['Secondary use of EHR data', 'Advanced data visualization tools and techniques', 'Outcomes research, clinical epidemiology, population health']"
74,Automated Monitoring and Evaluation of a Clinical Decision Support Tool: Application to an Inpatient Early Warning Score,Real-World Evidence in Informatics: Bridging the Gap between Research and Practice,"Monitoring of CDS tools is an important part of governance. An important question is how big of a window size to use to assess drift. We conducted a simulation study to understand the role of window size. We found that larger windows, with greater sample sizes, gave us more power to detect drift while also being flexible enough to capture changes early enough. We applied this approach to our EWS CDS.","['Clinical decision support for translational/data science interventions', 'Measuring outcomes', 'Learning healthcare system']"
75,A User-Centered Approach to Adapt Interoperable Clinical Decision Support Tools for Chronic Pain Management,Implementation Science and Deployment in Informatics: From Theory to Practice,"Updated patient pain information is necessary for providers to optimize chronic pain management. Primary care providers often lack this information beforehand to discuss with patients. This study aimed to assess and identify adaptation to tailor two electronic clinical decision support tools, MyPAIN and PainManager, to the needs of a healthcare system.","['Clinical decision support for translational/data science interventions', 'FHIR', 'Implementation Science']"
76,Unlocking the Potential of Synthetic Data: A Critical Examination of its Role in Real-World Healthcare Research,Real-World Evidence in Informatics: Bridging the Gap between Research and Practice,"This abstract highlights the use of real-world data (RWD) from electronic health records (EHRs) for assessing COVID-19 treatment effectiveness through the Edge Tool suite. The study explores incorporating synthetic data to enhance sample size and analysis robustness, comparing results with RWD from the pilot site.","['Secondary use of EHR data', 'Drug discovery, repurposing, and side-effect discovery']"
77,Using Natural Language Processing for Data Harmonization: Comparing Large Language Models and Fuzzy Matching Approaches,Harnessing the Power of Large Language Models in Health Data Science,We developed and validated natural language processing (NLP) methods (Fuzzy Matching and Large Language Models [LLMs]) to align variables from two GERAS (European and Japan) cohort studies that used similar protocols to collect data but named variables differently. Each NLP method used variable definitions to calculate a similarity score for each EU-Japan variable pair. Evaluation using 160 manually aligned variable pairs showed that LLMs outperformed Fuzzy Matching on hit ratio and mean reciprocal rank.,"['Natural Language Processing', 'Data Integration', 'Clinical and research data collection, curation, preservation, or sharing']"
78,Detecting Multimorbidity Patterns with Association Rule Mining in Patients with Alzheimer's Disease and Related Dementias,Harnessing the Power of Large Language Models in Health Data Science,"Researchers estimate the number of dementia patients to triple by 2050¹. Dementia seldom occurs in isolation; it’s frequently accompanied by other health conditions². The coexistence of conditions further complicates the management of dementia. In this study, we embarked on an innovative approach, applying association rule mining to analyze National Alzheimer’s Coordinating Center (NACC) data. First, we completed a literature review on the utilization of association rules, heatmaps, and network analysis to detect and visualize comorbidities. Then, we conducted a secondary data analysis on the NACC data using association rule mining. This algorithm uncovers associations of comorbidities that are diagnosed together in patients who have Alzheimer's disease and related dementias (ADRD). Also, for these patients, the algorithm provides the probability of a patient developing another comorbidity given the diagnosis of an associated comorbidity. These findings can enhance treatment planning, advance research on high-association diseases, and ultimately enhance healthcare for dementia patients.","['Data mining and knowledge discovery', 'Clinical decision support for translational/data science interventions', 'Outcomes research, clinical epidemiology, population health']"
79,Development of an Adaptable Cost-Analysis Tool to Support the Implementation of the CONCERN Early Warning System,,"Cost as a component of feasibility when implementing clinical decision support systems is often overlooked. Our work demonstrates and agile cost analysis of Communicating Narrative Concerns Entered by RNs (CONCERN), an early warning system based on nursing generated data. We developed an Excel-based cost estimation tool which uses cost data based on literature and national averages. This tool can be repurposed and reused with local data to create an easily sharable and executable cost model to determine the feasibility of implementing CONCERN (or other CDS interventions).","['Reproducible research methods and tools', 'Clinical decision support for translational/data science interventions', 'Measuring outcomes']"
80,Informative Sampling to Enhance Clinical Chart Review Representativeness,,"“Gold-standard” labels from clinicians are crucial for developing computational phenotyping algorithms. Typically, charts are sampled randomly. However, random sampling may not be able to capture the diverse manifestations of the patient population. To address this issue, this project introduces an informative sampling approach to select medical charts for review, enhancing clinical chart review efficiency.","['Data mining and knowledge discovery', 'Clinical and research data collection, curation, preservation, or sharing']"
81,Socio-economic Disparities in Infection-related Hospitalizations among the U.S. Home Health Care Population: Insights from a National Study,Fairness and Disparity in Health and Biomedical Informatics: Addressing Inequities through Innovation,"This study aims to understand the association between socioeconomic status (SES) of home health care (HHC) patients and infection risk. SES is quantified by the Area Deprivation Index (ADI) using multiple national datasets. The study sample includes 3,656,734 Medicare beneficiaries receiving HHC during 2019 from 8,133 HHC agencies. We used logistic regression models to investigate the association between ADI and infection risk and found significant associations for female and dual-eligible patients.","['Social determinants of health', 'Public health informatics', 'Patient centered research and care']"
82,Large Language Models and Biomedical Annotators to Extract Information from Scientific Literature in Inflammatory Bowel Disease,Harnessing the Power of Large Language Models in Health Data Science,This poster discusses two automated approaches for identifying important information from scientific literature to assist literature reviews. A Large Language Model (LLM) and biomedical text annotator (UMLS-based MetaMap) were used to identify and ascertain keywords and methods from a collection of Inflammatory Bowel Disease (IBD) abstracts. The results were assessed by human experts for accuracy and relevancy.,"['Natural Language Processing', 'Informatics research/biomedical informatics research methods', 'Clinical and research data collection, curation, preservation, or sharing']"
83,Precision phenotyping of schizophrenia in an EHR-linked biobank,Integrating Multi-Modal health Data to Enhance the Power of Informatics,"Schizophrenia (SCZ) is a highly heritable and relatively rare neuropsychiatric condition whose pathogenic mechanisms are largely unknown. Scalable EHR-based methods are needed to accurately identify individuals with SCZ for large studies across diverse populations and healthcare settings. Using structured clinical data from the Vanderbilt University Medical Center electronic health record (EHR), we constructed 72 phenotype definitions and tested their performance against manual chart review labels. Applying these approaches to our EHR-linked biobank, we found that the definitions with the highest positive predictive values had the highest genomic specificity to SCZ. This study demonstrates the utility of EHR-based approaches in ascertaining individuals with SCZ for future genetic and epidemiological studies.","['EHR-based phenotyping', 'Genotype-phenotype association studies (including GWAS)', 'Informatics research/biomedical informatics research methods']"
84,Ink: Non-repudiation for Large Language Models (LLMs) in Healthcare,Harnessing the Power of Large Language Models in Health Data Science,"We are increasingly likely to see Large Language Models (LLMs) used in a healthcare context. To address potential issues around liability when this occurs, we introduce Ink, an LLM-backed chatbot that can be used to generate securely signed, non-repudiable records of chats that have taken place. These chats can then be validated at a later date if required. As a proof-of-concept, Ink is connected to several predominant LLMs, including GPT-3.5/4.","['Data security and privacy', 'Machine learning and predictive modeling', 'Ethical, legal, and social issues']"
85,ICT for Cost Effective Improvement of Routine Childhood Immunization,,"This research project offers a gradual replacement of the current immunization process in a low-resource setting using a low-cost LETUS (Lightweight Electronic Traceable and Updatable System) solution to increase immunization coverage, and traceability. The eHealth solution will improve the coverage of childhood immunization and reduce the need for supplemental immunization campaigns.","['Public health informatics', 'Secondary use of EHR data', 'Data/system integration, standardization and interoperability']"
86,A Software Ecosystem for FAIR Deep Learning in Digital Pathology,Citizen Science and Democratizing AI and Informatics for Healthcare,"Deep learning has transformed digital pathology, but the number of reusable trained models remains low. We address this need in the present work by developing a repository of open and reusable pre-trained models for slide-level inference across cancers, as well as software tools to efficiently deploy these models on digital pathology images. Our hope is that this new ecosystem will help to democratize deep learning in digital pathology.","['Reproducible research methods and tools', 'Bioimaging techniques and applications', 'Machine learning and predictive modeling']"
87,The Impact of Spiritual Care on Comfort in Older Adults with Chronic Illnesses: An Event Study Design,Real-World Evidence in Informatics: Bridging the Gap between Research and Practice,"Using interoperable nursing care plan data from electronic health records, our findings suggest that spiritual care improves physical comfort in older adults chronically ill after the second nursing shift. Nurses may integrate spiritual care more frequently into their usual care to better assist patients experiencing distress. Further research is needed to better comprehend the association between spiritual care and other well-being measures.","['Secondary use of EHR data', 'Patient centered research and care', 'Data/system integration, standardization and interoperability']"
88,External Validation of a Machine Learning Model to Predict Postpartum Hemorrhage in a Large Dataset from Northeast US,Real-World Evidence in Informatics: Bridging the Gap between Research and Practice,"Postpartum hemorrhage is the leading cause of severe maternal morbidity and mortality. As the current predictive tools are lacking and a new machine learning model has been developed, we validate its performance in a retrospective cohort of all deliveries between 2015-2022 in our healthcare system. The model had an area under the curve (AUC) of 0.77. These results demonstrate the potential of machine learning models to add value to care at the time of delivery.","['EHR-based phenotyping', 'Machine learning and predictive modeling', 'Ethical, legal, and social issues']"
